# gauge_id=     8 location=(   0.8621910E+00 ) num_eqn=  3
# Columns: level time h hu eta
   01  0.5119687E+00  0.1259500E+00 -0.2436680E-16  0.0000000E+00
   01  0.5159584E+00  0.1259500E+00 -0.2443741E-16  0.0000000E+00
   01  0.5199482E+00  0.1259500E+00 -0.2450729E-16  0.0000000E+00
   01  0.5239380E+00  0.1259500E+00 -0.2457644E-16  0.0000000E+00
   01  0.5279278E+00  0.1259500E+00 -0.2464486E-16  0.0000000E+00
   01  0.5319178E+00  0.1259500E+00 -0.2471256E-16  0.0000000E+00
   01  0.5359078E+00  0.1259500E+00 -0.2477955E-16  0.0000000E+00
   01  0.5398979E+00  0.1259500E+00 -0.2484584E-16  0.0000000E+00
   01  0.5438880E+00  0.1259500E+00 -0.2491142E-16  0.0000000E+00
   01  0.5478782E+00  0.1259500E+00 -0.2497630E-16  0.0000000E+00
   01  0.5518684E+00  0.1259500E+00 -0.2504049E-16  0.0000000E+00
   01  0.5558587E+00  0.1259500E+00 -0.2510399E-16  0.0000000E+00
   01  0.5598490E+00  0.1259500E+00 -0.2516681E-16  0.0000000E+00
   01  0.5638395E+00  0.1259500E+00 -0.2522895E-16  0.0000000E+00
   01  0.5678299E+00  0.1259500E+00 -0.2529043E-16  0.0000000E+00
   01  0.5718204E+00  0.1259500E+00 -0.2535123E-16  0.0000000E+00
   01  0.5758110E+00  0.1259500E+00 -0.2541137E-16  0.0000000E+00
   01  0.5798017E+00  0.1259500E+00 -0.2547086E-16  0.0000000E+00
   01  0.5837923E+00  0.1259500E+00 -0.2552969E-16  0.0000000E+00
   01  0.5877831E+00  0.1259500E+00 -0.2558788E-16  0.0000000E+00
   01  0.5917739E+00  0.1259500E+00 -0.2564542E-16  0.0000000E+00
   01  0.5957647E+00  0.1259500E+00 -0.2570233E-16  0.0000000E+00
   01  0.5997556E+00  0.1259500E+00 -0.2575860E-16  0.0000000E+00
   01  0.6037466E+00  0.1259500E+00 -0.2581425E-16  0.0000000E+00
   01  0.6077376E+00  0.1259500E+00 -0.2586927E-16  0.0000000E+00
   01  0.6117287E+00  0.1259500E+00 -0.2592368E-16  0.0000000E+00
   01  0.6157198E+00  0.1259500E+00 -0.2597747E-16  0.0000000E+00
   01  0.6197109E+00  0.1259500E+00 -0.2603066E-16  0.0000000E+00
   01  0.6237021E+00  0.1259500E+00 -0.2608325E-16  0.0000000E+00
   01  0.6276934E+00  0.1259500E+00 -0.2613524E-16  0.0000000E+00
   01  0.6316847E+00  0.1259500E+00 -0.2618663E-16  0.0000000E+00
   01  0.6356761E+00  0.1259500E+00 -0.2623744E-16  0.0000000E+00
   01  0.6396675E+00  0.1259500E+00 -0.2628766E-16  0.0000000E+00
   01  0.6436590E+00  0.1259500E+00 -0.2633731E-16  0.0000000E+00
   01  0.6476505E+00  0.1259500E+00 -0.2638639E-16  0.0000000E+00
   01  0.6516421E+00  0.1259500E+00 -0.2643490E-16  0.0000000E+00
   01  0.6556337E+00  0.1259500E+00 -0.2648285E-16  0.0000000E+00
   01  0.6596254E+00  0.1259500E+00 -0.2653026E-16  0.0000000E+00
   01  0.6636171E+00  0.1259500E+00 -0.2657717E-16  0.0000000E+00
   01  0.6676089E+00  0.1259500E+00 -0.2662358E-16  0.0000000E+00
   01  0.6716007E+00  0.1259500E+00 -0.2666951E-16  0.0000000E+00
   01  0.6755926E+00  0.1259500E+00 -0.2671496E-16  0.0000000E+00
   01  0.6795845E+00  0.1259500E+00 -0.2675994E-16  0.0000000E+00
   01  0.6835765E+00  0.1259500E+00 -0.2680447E-16  0.0000000E+00
   01  0.6875685E+00  0.1259500E+00 -0.2684854E-16  0.0000000E+00
   01  0.6915606E+00  0.1259500E+00 -0.2689217E-16  0.0000000E+00
   01  0.6955527E+00  0.1259500E+00 -0.2693535E-16  0.0000000E+00
   01  0.6995449E+00  0.1259500E+00 -0.2697809E-16  0.0000000E+00
   01  0.7035371E+00  0.1259500E+00 -0.2702040E-16  0.0000000E+00
   01  0.7075294E+00  0.1259500E+00 -0.2706228E-16  0.0000000E+00
   01  0.7115217E+00  0.1259500E+00 -0.2710373E-16  0.0000000E+00
   01  0.7155141E+00  0.1259500E+00 -0.2714476E-16  0.0000000E+00
   01  0.7195065E+00  0.1259500E+00 -0.2718536E-16  0.0000000E+00
   01  0.7234989E+00  0.1259500E+00 -0.2722555E-16  0.0000000E+00
   01  0.7274915E+00  0.1259500E+00 -0.2726532E-16  0.0000000E+00
   01  0.7314840E+00  0.1259500E+00 -0.2730468E-16  0.0000000E+00
   01  0.7354766E+00  0.1259500E+00 -0.2734364E-16  0.0000000E+00
   01  0.7394693E+00  0.1259500E+00 -0.2738218E-16  0.0000000E+00
   01  0.7434620E+00  0.1259500E+00 -0.2742032E-16  0.0000000E+00
   01  0.7474547E+00  0.1259500E+00 -0.2745806E-16  0.0000000E+00
